k id,k x,k y,k z,k accel,k steer,k steer angle,k speed,k max speed,k boost,k brake,k nitro,b x,b y,b z,b not moving,closest k x,closest k y,closest k z,blue t goal,red t goal,ball aim x,ball aim y,ball aim z
0.000000,4.666567,0.277860,13.619397,1.000000,0.666616,0.129415,9.498960,14.250001,1.000000,0.000000,0.000000,-7.790062,0.369813,18.517685,0.000000,0.108510,0.267875,18.886068,0.000000,0.000000,-8.054807,0.369813,16.949947
1.000000,5.748370,0.270502,16.115147,1.000000,-0.176580,0.105725,12.296403,14.250001,0.000000,0.000000,0.000000,-2.008443,0.369813,15.888076,0.000000,8.131436,0.277063,11.069734,0.000000,0.000000,-2.048154,0.369813,17.477514
0.000000,8.131436,0.277063,11.069734,0.000000,0.257424,0.130048,9.477771,14.250001,1.000000,1.000000,0.000000,-2.008443,0.369813,15.888076,0.000000,5.838582,0.270549,16.067278,0.000000,0.000000,-2.073261,0.369813,14.299462
1.000000,10.155204,0.273158,12.338717,1.000000,0.454268,0.109653,11.264498,14.250001,0.000000,0.000000,0.000000,4.335043,0.369813,13.013565,0.000000,12.392495,0.282068,9.908140,0.000000,0.000000,4.423824,0.369813,14.601020
0.000000,12.392495,0.282068,9.908140,1.000000,-0.358562,0.177578,7.884613,14.250001,1.000000,0.000000,0.000000,4.335043,0.369813,13.013565,0.000000,10.213541,0.273206,12.265624,0.000000,0.000000,4.469204,0.369813,11.429300
1.000000,14.528275,0.274105,9.446537,1.000000,1.000000,0.113894,10.150637,14.250001,0.000000,0.000000,0.000000,11.240695,0.369813,9.894851,0.000000,15.175340,0.283719,8.060982,0.000000,0.000000,11.478230,0.369813,11.466942
0.000000,15.175340,0.283719,8.060982,1.000000,-1.000000,0.242661,5.703135,14.250001,1.000000,0.000000,0.000000,11.240695,0.369813,9.894851,0.000000,14.608898,0.273993,9.421976,0.000000,0.000000,11.561952,0.369813,8.337710
1.000000,19.123550,0.277724,8.056427,1.000000,-1.000000,0.128224,9.538894,14.250001,0.000000,0.000000,0.000000,17.508877,0.369810,6.708370,0.000000,17.591906,0.278701,4.920743,1.000000,0.000000,17.888506,0.369810,8.252317
0.000000,17.591906,0.278701,4.920743,1.000000,1.000000,0.145858,8.947824,14.250001,1.000000,0.000000,0.000000,17.508877,0.369810,6.708370,0.000000,19.199366,0.277796,8.033841,1.000000,0.000000,18.527357,0.369810,4.394727
1.000000,22.699600,0.282471,5.716477,1.000000,0.462355,0.182205,7.729519,14.250001,0.000000,0.000000,0.000000,18.655106,0.369813,5.390797,0.000000,21.102623,0.282513,2.520052,0.000000,0.000000,19.065132,0.369813,6.926952
0.000000,21.102623,0.282513,2.520052,1.000000,-0.160466,0.182828,7.708666,14.250001,1.000000,0.000000,0.000000,18.655106,0.369813,5.390797,0.000000,22.748133,0.282560,5.674764,0.000000,0.000000,19.134212,0.369813,3.874766
1.000000,25.682674,0.288516,4.335722,1.000000,0.524247,0.249657,5.468653,14.250001,0.000000,0.000000,0.000000,20.099644,0.369813,4.643834,0.000000,23.541922,0.288975,0.352595,0.000000,0.000000,20.543455,0.369813,6.170571
0.000000,23.541922,0.288975,0.352595,1.000000,-0.985992,0.255694,5.266308,14.250001,1.000000,0.000000,0.000000,20.099644,0.369813,4.643834,0.000000,25.726955,0.288644,4.327309,0.000000,0.000000,20.606335,0.369813,3.136798
1.000000,27.609550,0.296569,4.287488,1.000000,0.972625,0.347547,2.187528,14.250001,0.000000,0.000000,0.000000,22.098295,0.369813,3.634900,0.000000,24.183596,0.296561,-1.382919,0.000000,0.000000,22.588808,0.369813,5.147279
0.000000,24.183596,0.296561,-1.382919,1.000000,-1.000000,0.350247,2.097043,14.250001,1.000000,0.000000,0.000000,22.098295,0.369813,3.634900,0.000000,27.626925,0.296605,4.290717,0.000000,0.000000,22.641439,0.369813,2.140615
1.000000,27.162891,0.282367,3.151580,0.000000,-1.000000,0.412811,-7.416944,14.250001,0.000000,1.000000,0.000000,24.651005,0.369813,2.363889,0.000000,25.272993,0.282846,-0.589360,0.000000,0.000000,25.200987,0.369813,3.855671
